"ITA","Italy","TIME01","2001","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",22.8,,
"ITA","Italy","TIME01","2001","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",22.1,,
"ITA","Italy","TIME01","2001","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",23.4,,
"ITA","Italy","TIME02","2002","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",19.5,,
"ITA","Italy","TIME02","2002","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",19,,
"ITA","Italy","TIME02","2002","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",20.1,,
"ITA","Italy","TIME03","2003","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",16.8,,
"ITA","Italy","TIME03","2003","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",16.3,,
"ITA","Italy","TIME03","2003","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",17.3,,
"ITA","Italy","TIME04","2004","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",15.1,,
"ITA","Italy","TIME04","2004","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",14.6,,
"ITA","Italy","TIME04","2004","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",15.6,,
"ITA","Italy","TIME05","2005","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",14.4,,
"ITA","Italy","TIME05","2005","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",13.9,,
"ITA","Italy","TIME05","2005","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",14.9,,
"ITA","Italy","TIME06","2006","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",12.3,,
"ITA","Italy","TIME06","2006","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",11.9,,
"ITA","Italy","TIME06","2006","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",12.8,,
"ITA","Italy","TIME07","2007","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",11.2,,
"ITA","Italy","TIME07","2007","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",10.8,,
"ITA","Italy","TIME07","2007","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",11.6,,
"ITA","Italy","TIME08","2008","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",10.9,,
"ITA","Italy","TIME08","2008","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",10.5,,
"ITA","Italy","TIME08","2008","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",11.3,,
"ITA","Italy","TIME09","2009","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",9.8,,
"ITA","Italy","TIME09","2009","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",9.4,,
"ITA","Italy","TIME09","2009","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",10.2,,
"ITA","Italy","TIME10","2010","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",10.1,,
"ITA","Italy","TIME10","2010","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","LOW_CI","Lower confidence interval",9.7,,
"ITA","Italy","TIME10","2010","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","UP_CI","Upper confidence interval",10.5,,
"ITA","Italy","TIME11","2011","ADMRASTH","Asthma hospital admission","M","Male","TOTAL_15","15 years old and over","AS_STD_RATE_MPOP","Age-sex standardised rate per 100 000 population",8.5,,
